medarbejder_nr;fornavn;efternavn;initialer;email;telefon;afdeling;sprog;nfc_kort_id;rolle
E001;Søren;Ærøe;SÆR;soren@firma.dk;+45 20 11 22 33;Kundeservice;da;04A1B2C3;Kundeservicemedarbejder
E002;Åse;Østergaard;ÅØS;aase@firma.dk;;Drift;da;;Driftsleder
E003;Mikkel;Brøndby;MBR;mikkel@firma.dk;+45 31 44 55 66;Administration;da;04D4E5F6;Supporter
E004;Charlotte;Lindgren;CLI;charlotte@firma.dk;;Salg;da;;Bogholder
E005;Jens;Havgaard;JHA;jens@firma.dk;+45 42 77 88 99;Drift;en;;Chauffør
E006;Pia;Nørregaard;PNØ;pia@firma.dk;;Kundeservice;da;04AABBCC;Teamleder
;Fejl;Manglernummer;FEJ;fejl@firma.dk;;Administration;da;;
E003;Dublet;Hansen;DUB;dublet@firma.dk;;Lager;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E008;Maria;Skov;MSK;maria@firma.dk;+45 50 12 34 56;Lager;da;;Lagerassistent
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
E007;Bo;;BO;bo@firma.dk;;;da;;
